period,ratio,keyword
2025-03-09,81.89081,트렌치코트
2025-03-10,73.83488,트렌치코트
2025-03-11,81.6245,트렌치코트
2025-03-12,81.89081,트렌치코트
2025-03-13,77.03062,트렌치코트
2025-03-14,75.76564,트렌치코트
2025-03-15,81.3249,트렌치코트
2025-01-15,8.62183,숏코트
2025-01-16,8.65512,숏코트
2025-01-17,8.98801,숏코트
2025-01-18,10.38615,숏코트
2025-01-19,11.25166,숏코트
2025-01-20,10.48601,숏코트
2025-01-21,10.8189,숏코트
2025-01-22,10.15312,숏코트
2025-01-23,9.85352,숏코트
2025-01-24,9.98668,숏코트
2025-01-25,10.2197,숏코트
2025-01-26,9.35419,숏코트
2025-01-27,9.35419,숏코트
2025-01-28,7.65645,숏코트
2025-01-29,8.4221,숏코트
2025-01-30,9.12117,숏코트
2025-01-31,9.48735,숏코트
2025-02-01,9.28761,숏코트
2025-02-02,12.05059,숏코트
2025-02-03,9.95339,숏코트
2025-02-04,8.7217,숏코트
2025-02-05,7.85619,숏코트
2025-02-06,7.98934,숏코트
2025-02-07,6.65778,숏코트
2025-02-08,7.05725,숏코트
2025-02-09,9.15446,숏코트
2025-02-10,8.75499,숏코트
2025-02-11,10.31957,숏코트
2025-02-12,10.01997,숏코트
2025-02-13,9.55392,숏코트
2025-02-14,10.85219,숏코트
2025-02-15,9.25432,숏코트
2025-02-16,13.5486,숏코트
2025-02-17,12.18375,숏코트
2025-02-18,9.6205,숏코트
2025-02-19,9.95339,숏코트
2025-02-20,8.7217,숏코트
2025-02-21,8.38881,숏코트
2025-02-22,8.45539,숏코트
2025-02-23,10.15312,숏코트
2025-02-24,9.72037,숏코트
2025-02-25,10.18641,숏코트
2025-02-26,10.35286,숏코트
2025-02-27,9.15446,숏코트
2025-02-28,9.3209,숏코트
2025-03-01,9.85352,숏코트
2025-03-02,10.05326,숏코트
2025-03-03,9.75366,숏코트
2025-03-04,6.52463,숏코트
2025-03-05,7.78961,숏코트
2025-03-06,8.85486,숏코트
2025-03-07,9.58721,숏코트
2025-03-08,9.58721,숏코트
2025-03-09,10.25299,숏코트
2025-03-10,10.65246,숏코트
2025-03-11,10.48601,숏코트
2025-03-12,10.11984,숏코트
2025-03-13,7.58988,숏코트
2025-03-14,6.99067,숏코트
2025-03-15,5.82556,숏코트
2025-01-15,19.24101,롱코트
2025-01-16,19.30758,롱코트
2025-01-17,17.743,롱코트
2025-01-18,21.40479,롱코트
2025-01-19,20.97203,롱코트
2025-01-20,20.50599,롱코트
2025-01-21,17.87616,롱코트
2025-01-22,16.44474,롱코트
2025-01-23,14.58055,롱코트
2025-01-24,13.8482,롱코트
2025-01-25,13.61517,롱코트
2025-01-26,15.84553,롱코트
2025-01-27,14.78029,롱코트
2025-01-28,13.34886,롱코트
2025-01-29,14.01464,롱코트
2025-01-30,17.31025,롱코트
2025-01-31,13.68175,롱코트
2025-02-01,15.84553,롱코트
2025-02-02,16.27829,롱코트
2025-02-03,15.11318,롱코트
2025-02-04,15.24633,롱코트
2025-02-05,15.27962,롱코트
2025-02-06,13.51531,롱코트
2025-02-07,14.28095,롱코트
2025-02-08,15.31291,롱코트
2025-02-09,15.77896,롱코트
2025-02-10,15.57922,롱코트
2025-02-11,13.38215,롱코트
2025-02-12,14.38082,롱코트
2025-02-13,12.08388,롱코트
2025-02-14,14.94673,롱코트
2025-02-15,15.11318,롱코트
2025-02-16,13.78162,롱코트
2025-02-17,13.08255,롱코트
2025-02-18,12.88282,롱코트
2025-02-19,11.85086,롱코트
2025-02-20,11.65113,롱코트
2025-02-21,11.48468,롱코트
2025-02-22,12.78295,롱코트
2025-02-23,12.28362,롱코트
2025-02-24,11.51797,롱코트
2025-02-25,10.8189,롱코트
2025-02-26,8.78828,롱코트
2025-02-27,8.85486,롱코트
2025-02-28,7.72303,롱코트
2025-03-01,8.02263,롱코트
2025-03-02,7.29027,롱코트
2025-03-03,7.49001,롱코트
2025-03-04,6.02529,롱코트
2025-03-05,7.02396,롱코트
2025-03-06,6.85752,롱코트
2025-03-07,7.49001,롱코트
2025-03-08,7.45672,롱코트
2025-03-09,6.75765,롱코트
2025-03-10,5.22636,롱코트
2025-03-11,5.3928,롱코트
2025-03-12,5.02663,롱코트
2025-03-13,3.32889,롱코트
2025-03-14,3.39547,롱코트
2025-03-15,3.09587,롱코트
2025-01-15,5.02901,레인코트
2025-01-16,4.90592,레인코트
2025-01-17,2.58484,레인코트
2025-01-18,3.14752,레인코트
2025-01-19,3.09477,레인코트
2025-01-20,3.09477,레인코트
2025-01-21,3.3937,레인코트
2025-01-22,2.97168,레인코트
2025-01-23,2.39141,레인코트
2025-01-24,2.56725,레인코트
2025-01-25,1.33638,레인코트
