period,ratio,keyword
2025-02-25,4.13436,Fit_Loose
2025-02-26,10.07751,Fit_Loose
2025-02-27,12.1447,Fit_Loose
2025-02-28,10.85271,Fit_Loose
2025-03-01,13.17829,Fit_Loose
2025-03-02,15.76227,Fit_Loose
2025-03-03,14.21188,Fit_Loose
2025-03-04,11.6279,Fit_Loose
2025-03-05,17.82945,Fit_Loose
2025-03-06,16.53746,Fit_Loose
2025-03-07,17.57105,Fit_Loose
2025-03-08,16.53746,Fit_Loose
2025-03-09,20.41343,Fit_Loose
2025-03-10,21.70542,Fit_Loose
2025-03-11,22.48062,Fit_Loose
2025-03-12,26.35658,Fit_Loose
2025-03-13,28.94056,Fit_Loose
2025-03-14,22.73901,Fit_Loose
2025-03-15,19.37984,Fit_Loose
2025-01-16,1.29198,Length_Long
2025-01-17,2.06718,Length_Long
2025-01-18,3.61757,Length_Long
2025-01-19,4.39276,Length_Long
2025-01-20,4.13436,Length_Long
2025-01-21,1.80878,Length_Long
2025-01-22,2.58397,Length_Long
2025-01-23,1.80878,Length_Long
2025-01-24,2.58397,Length_Long
2025-01-25,3.61757,Length_Long
2025-01-26,5.94315,Length_Long
2025-01-27,4.13436,Length_Long
2025-01-28,3.10077,Length_Long
2025-01-29,3.87596,Length_Long
2025-01-30,6.71834,Length_Long
2025-01-31,2.58397,Length_Long
2025-02-01,6.45994,Length_Long
2025-02-02,7.23514,Length_Long
2025-02-03,4.90956,Length_Long
2025-02-04,6.45994,Length_Long
2025-02-05,4.39276,Length_Long
2025-02-06,10.59431,Length_Long
2025-02-07,4.65116,Length_Long
2025-02-08,6.20155,Length_Long
2025-02-09,7.75193,Length_Long
2025-02-10,8.78552,Length_Long
2025-02-11,9.56072,Length_Long
2025-02-12,12.4031,Length_Long
2025-02-13,6.97674,Length_Long
2025-02-14,10.33591,Length_Long
2025-02-15,12.4031,Length_Long
2025-02-16,18.86304,Length_Long
2025-02-17,19.12144,Length_Long
2025-02-18,16.02067,Length_Long
2025-02-19,17.05426,Length_Long
2025-02-20,15.50387,Length_Long
2025-02-21,12.4031,Length_Long
2025-02-22,16.79586,Length_Long
2025-02-23,22.73901,Length_Long
2025-02-24,19.12144,Length_Long
2025-02-25,17.31266,Length_Long
2025-02-26,19.12144,Length_Long
2025-02-27,20.41343,Length_Long
2025-02-28,29.19896,Length_Long
2025-03-01,34.36692,Length_Long
2025-03-02,33.85012,Length_Long
2025-03-03,37.72609,Length_Long
2025-03-04,31.78294,Length_Long
2025-03-05,32.04134,Length_Long
2025-03-06,41.34366,Length_Long
2025-03-07,35.65891,Length_Long
2025-03-08,34.62532,Length_Long
2025-03-09,45.73643,Length_Long
2025-03-10,38.50129,Length_Long
2025-03-11,43.41085,Length_Long
2025-03-12,38.75968,Length_Long
2025-03-13,41.60206,Length_Long
2025-03-14,36.17571,Length_Long
2025-03-15,32.81653,Length_Long
2025-01-15,2.06718,Length_Short
2025-01-16,3.35917,Length_Short
2025-01-17,3.87596,Length_Short
2025-01-18,8.26873,Length_Short
2025-01-19,6.97674,Length_Short
2025-01-20,5.94315,Length_Short
2025-01-21,5.16795,Length_Short
2025-01-22,6.97674,Length_Short
2025-01-23,5.42635,Length_Short
2025-01-24,4.39276,Length_Short
2025-01-25,9.04392,Length_Short
2025-01-26,9.30232,Length_Short
2025-01-27,6.20155,Length_Short
2025-01-28,6.45994,Length_Short
2025-01-29,5.68475,Length_Short
2025-01-30,8.78552,Length_Short
2025-01-31,7.49354,Length_Short
2025-02-01,11.8863,Length_Short
2025-02-02,10.59431,Length_Short
2025-02-03,5.42635,Length_Short
2025-02-04,10.59431,Length_Short
